deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.003125 0.928125 0.966609 
0.003125 0.932812 0.966271 
0.003125 0.937500 0.965931 
0.003125 0.942187 0.965588 
0.003125 0.946875 0.965242 
0.003125 0.951562 0.964894 
0.003125 0.956250 0.964544 
0.003125 0.960938 0.964190 
0.003125 0.965625 0.963834 
0.003125 0.970312 0.963476 
0.003125 0.975000 0.963114 
0.003125 0.979687 0.962751 
0.003125 0.984375 0.962384 
0.003125 0.989062 0.962015 
0.003125 0.993750 0.961643 
0.003125 0.998437 0.961268 
0.003125 1.003125 0.960890 
0.003125 1.007812 0.960510 
0.003125 1.012500 0.960127 
0.003125 1.017187 0.959741 
0.003125 1.021875 0.959352 
0.003125 1.026563 0.958960 
0.003125 1.031250 0.958566 
0.003125 1.035937 0.958168 
0.003125 1.040625 0.957768 
0.003125 1.045312 0.957364 
0.003125 1.050000 0.956958 
0.003125 1.054688 0.956549 
0.003125 1.059375 0.956136 
0.003125 1.064062 0.955721 
0.003125 1.068750 0.955302 
0.003125 1.073438 0.954881 
0.003125 1.078125 0.954456 
0.003125 1.082812 0.954028 
0.003125 1.087500 0.953597 
0.003125 1.092187 0.953163 
0.003125 1.096875 0.952725 
0.003125 1.101562 0.952285 
0.003125 1.106250 0.951841 
0.003125 1.110937 0.951393 
0.003125 1.115625 0.950943 
0.003125 1.120313 0.950489 
0.003125 1.125000 0.950032 
0.003125 1.129687 0.949571 
0.003125 1.134375 0.949107 
0.003125 1.139062 0.948639 
0.003125 1.143750 0.948168 
0.003125 1.148438 0.947694 
0.003125 1.153125 0.947215 
0.003125 1.157812 0.946734 
0.003125 1.162500 0.946248 
0.003125 1.167188 0.945759 
0.003125 1.171875 0.945267 
0.003125 1.176562 0.944771 
0.003125 1.181250 0.944271 
0.003125 1.185937 0.943767 
0.003125 1.190625 0.943259 
0.003125 1.195312 0.942748 
0.003125 1.200000 0.942232 
0.006250 0.004687 0.999031 
0.006250 0.009375 0.998989 
0.006250 0.014062 0.998945 
0.006250 0.018750 0.998901 
0.006250 0.023438 0.998855 
0.006250 0.028125 0.998809 
0.006250 0.032813 0.998762 
0.006250 0.037500 0.998714 
0.006250 0.042187 0.998665 
0.006250 0.046875 0.998616 
0.006250 0.051562 0.998565 
0.006250 0.056250 0.998513 
0.006250 0.060937 0.998461 
0.006250 0.065625 0.998407 
0.006250 0.070312 0.998353 
