deltaH: 0.312500
Omega_M  Omega_Lambda   Likelihood
0.012500 0.018750 0.000000 
0.012500 0.018750 1.000000 
0.012500 0.037500 0.999994 
0.012500 0.056250 0.999976 
0.012500 0.075000 0.999946 
0.012500 0.093750 0.999903 
0.012500 0.112500 0.999847 
0.012500 0.131250 0.999777 
0.012500 0.150000 0.999695 
0.012500 0.168750 0.999599 
0.012500 0.187500 0.999488 
0.012500 0.206250 0.999364 
0.012500 0.225000 0.999225 
0.012500 0.243750 0.999071 
0.012500 0.262500 0.998902 
0.012500 0.281250 0.998717 
0.012500 0.300000 0.998517 
0.012500 0.318750 0.998301 
0.012500 0.337500 0.998068 
0.012500 0.356250 0.997819 
0.012500 0.375000 0.997553 
0.012500 0.393750 0.997269 
0.012500 0.412500 0.996967 
0.012500 0.431250 0.996648 
0.012500 0.450000 0.996309 
0.012500 0.468750 0.995952 
0.012500 0.487500 0.995575 
0.012500 0.506250 0.995178 
0.012500 0.525000 0.994761 
0.012500 0.543750 0.994324 
0.012500 0.562500 0.993865 
0.012500 0.581250 0.993385 
0.012500 0.600000 0.992882 
0.012500 0.618750 0.992357 
0.012500 0.637500 0.991808 
0.012500 0.656250 0.991236 
0.012500 0.675000 0.990639 
0.012500 0.693750 0.990018 
0.012500 0.712500 0.989371 
0.012500 0.731250 0.988698 
0.012500 0.750000 0.987998 
0.012500 0.768750 0.987270 
0.012500 0.787500 0.986515 
0.012500 0.806250 0.985730 
0.012500 0.825000 0.984916 
0.012500 0.843750 0.984071 
0.012500 0.862500 0.983195 
0.012500 0.881250 0.982287 
0.012500 0.900000 0.981347 
0.012500 0.918750 0.980372 
0.012500 0.937500 0.979362 
0.012500 0.956250 0.978317 
0.012500 0.975000 0.977235 
0.012500 0.993750 0.976114 
0.012500 1.012500 0.974955 
0.012500 1.031250 0.973756 
0.012500 1.050000 0.972515 
0.012500 1.068750 0.971231 
0.012500 1.087500 0.969903 
0.012500 1.106250 0.968530 
0.012500 1.125000 0.967109 
0.012500 1.143750 0.965640 
0.012500 1.162500 0.964120 
0.012500 1.181250 0.962549 
0.012500 1.200000 0.960923 
0.025000 0.018750 0.999995 
0.025000 0.037500 0.999996 
0.025000 0.056250 0.999985 
0.025000 0.075000 0.999962 
0.025000 0.093750 0.999927 
0.025000 0.112500 0.999879 
0.025000 0.131250 0.999817 
0.025000 0.150000 0.999742 
0.025000 0.168750 0.999654 
0.025000 0.187500 0.999552 
0.025000 0.206250 0.999436 
0.025000 0.225000 0.999306 
0.025000 0.243750 0.999161 
0.025000 0.262500 0.999001 
0.025000 0.281250 0.998826 
0.025000 0.300000 0.998635 
0.025000 0.318750 0.998428 
0.025000 0.337500 0.998205 
0.025000 0.356250 0.997966 
0.025000 0.375000 0.997710 
0.025000 0.393750 0.997436 
0.025000 0.412500 0.997145 
0.025000 0.431250 0.996836 
0.025000 0.450000 0.996509 
0.025000 0.468750 0.996163 
0.025000 0.487500 0.995798 
0.025000 0.506250 0.995413 
0.025000 0.525000 0.995008 
0.025000 0.543750 0.994583 
0.025000 0.562500 0.994137 
0.025000 0.581250 0.993669 
0.025000 0.600000 0.993180 
0.025000 0.618750 0.992668 
0.025000 0.637500 0.992134 
0.025000 0.656250 0.991576 
0.025000 0.675000 0.990993 
0.025000 0.693750 0.990387 
0.025000 0.712500 0.989755 
0.025000 0.731250 0.989098 
0.025000 0.750000 0.988414 
0.025000 0.768750 0.987703 
0.025000 0.787500 0.986964 
0.025000 0.806250 0.986197 
0.025000 0.825000 0.985400 
0.025000 0.843750 0.984574 
0.025000 0.862500 0.983717 
0.025000 0.881250 0.982828 
0.025000 0.900000 0.981907 
0.025000 0.918750 0.980952 
0.025000 0.937500 0.979964 
0.025000 0.956250 0.978940 
0.025000 0.975000 0.977880 
0.025000 0.993750 0.976782 
0.025000 1.012500 0.975647 
0.025000 1.031250 0.974472 
0.025000 1.050000 0.973256 
0.025000 1.068750 0.971998 
0.025000 1.087500 0.970696 
0.025000 1.106250 0.969350 
0.025000 1.125000 0.967958 
0.025000 1.143750 0.966518 
0.025000 1.162500 0.965029 
0.025000 1.181250 0.963489 
0.025000 1.200000 0.961896 
0.037500 0.018750 0.999986 
0.037500 0.037500 0.999994 
0.037500 0.056250 0.999990 
0.037500 0.075000 0.999975 
0.037500 0.093750 0.999946 
0.037500 0.112500 0.999906 
0.037500 0.131250 0.999852 
0.037500 0.150000 0.999785 
0.037500 0.168750 0.999705 
0.037500 0.187500 0.999611 
0.037500 0.206250 0.999504 
0.037500 0.225000 0.999382 
0.037500 0.243750 0.999245 
0.037500 0.262500 0.999094 
0.037500 0.281250 0.998928 
0.037500 0.300000 0.998747 
0.037500 0.318750 0.998549 
0.037500 0.337500 0.998336 
0.037500 0.356250 0.998107 
0.037500 0.375000 0.997861 
0.037500 0.393750 0.997597 
0.037500 0.412500 0.997317 
0.037500 0.431250 0.997019 
0.037500 0.450000 0.996702 
0.037500 0.468750 0.996367 
0.037500 0.487500 0.996014 
0.037500 0.506250 0.995641 
0.037500 0.525000 0.995248 
0.037500 0.543750 0.994835 
0.037500 0.562500 0.994401 
0.037500 0.581250 0.993946 
0.037500 0.600000 0.993470 
0.037500 0.618750 0.992972 
0.037500 0.637500 0.992451 
0.037500 0.656250 0.991907 
0.037500 0.675000 0.991339 
0.037500 0.693750 0.990747 
0.037500 0.712500 0.990130 
0.037500 0.731250 0.989488 
0.037500 0.750000 0.988820 
0.037500 0.768750 0.988125 
0.037500 0.787500 0.987403 
0.037500 0.806250 0.986653 
0.037500 0.825000 0.985874 
0.037500 0.843750 0.985065 
0.037500 0.862500 0.984227 
0.037500 0.881250 0.983357 
0.037500 0.900000 0.982455 
0.037500 0.918750 0.981521 
0.037500 0.937500 0.980553 
0.037500 0.956250 0.979550 
0.037500 0.975000 0.978512 
0.037500 0.993750 0.977437 
0.037500 1.012500 0.976324 
0.037500 1.031250 0.975173 
0.037500 1.050000 0.973981 
0.037500 1.068750 0.972749 
0.037500 1.087500 0.971473 
0.037500 1.106250 0.970154 
0.037500 1.125000 0.968790 
0.037500 1.143750 0.967379 
0.037500 1.162500 0.965920 
0.037500 1.181250 0.964411 
0.037500 1.200000 0.962850 
0.050000 0.018750 0.999972 
0.050000 0.037500 0.999987 
0.050000 0.056250 0.999991 
0.050000 0.075000 0.999982 
0.050000 0.093750 0.999962 
0.050000 0.112500 0.999928 
0.050000 0.131250 0.999882 
0.050000 0.150000 0.999823 
0.050000 0.168750 0.999751 
0.050000 0.187500 0.999666 
0.050000 0.206250 0.999566 
0.050000 0.225000 0.999453 
0.050000 0.243750 0.999325 
0.050000 0.262500 0.999183 
0.050000 0.281250 0.999025 
0.050000 0.300000 0.998853 
0.050000 0.318750 0.998665 
0.050000 0.337500 0.998461 
0.050000 0.356250 0.998242 
0.050000 0.375000 0.998005 
0.050000 0.393750 0.997752 
0.050000 0.412500 0.997482 
0.050000 0.431250 0.997195 
0.050000 0.450000 0.996889 
0.050000 0.468750 0.996565 
0.050000 0.487500 0.996223 
0.050000 0.506250 0.995861 
0.050000 0.525000 0.995480 
0.050000 0.543750 0.995079 
0.050000 0.562500 0.994658 
0.050000 0.581250 0.994215 
0.050000 0.600000 0.993752 
0.050000 0.618750 0.993267 
0.050000 0.637500 0.992759 
0.050000 0.656250 0.992229 
0.050000 0.675000 0.991676 
0.050000 0.693750 0.991098 
0.050000 0.712500 0.990496 
0.050000 0.731250 0.989869 
0.050000 0.750000 0.989217 
0.050000 0.768750 0.988538 
0.050000 0.787500 0.987832 
0.050000 0.806250 0.987099 
0.050000 0.825000 0.986337 
0.050000 0.843750 0.985546 
0.050000 0.862500 0.984726 
0.050000 0.881250 0.983875 
0.050000 0.900000 0.982992 
0.050000 0.918750 0.982077 
0.050000 0.937500 0.981129 
0.050000 0.956250 0.980148 
0.050000 0.975000 0.979131 
0.050000 0.993750 0.978078 
0.050000 1.012500 0.976988 
0.050000 1.031250 0.975860 
0.050000 1.050000 0.974692 
0.050000 1.068750 0.973484 
0.050000 1.087500 0.972235 
0.050000 1.106250 0.970942 
0.050000 1.125000 0.969605 
0.050000 1.143750 0.968222 
0.050000 1.162500 0.966792 
0.050000 1.181250 0.965313 
0.050000 1.200000 0.963783 
0.062500 0.018750 0.999954 
0.062500 0.037500 0.999977 
0.062500 0.056250 0.999987 
0.062500 0.075000 0.999986 
0.062500 0.093750 0.999972 
0.062500 0.112500 0.999946 
0.062500 0.131250 0.999908 
0.062500 0.150000 0.999857 
0.062500 0.168750 0.999792 
0.062500 0.187500 0.999715 
0.062500 0.206250 0.999624 
0.062500 0.225000 0.999518 
0.062500 0.243750 0.999399 
0.062500 0.262500 0.999266 
0.062500 0.281250 0.999117 
0.062500 0.300000 0.998954 
0.062500 0.318750 0.998775 
