deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.006250 0.009375 0.000000 
0.006250 0.009375 0.998991 
0.006250 0.018750 0.998904 
0.006250 0.028125 0.998812 
0.006250 0.037500 0.998717 
0.006250 0.046875 0.998618 
0.006250 0.056250 0.998516 
0.006250 0.065625 0.998410 
0.006250 0.075000 0.998301 
0.006250 0.084375 0.998187 
0.006250 0.093750 0.998070 
0.006250 0.103125 0.997949 
0.006250 0.112500 0.997824 
0.006250 0.121875 0.997695 
0.006250 0.131250 0.997563 
0.006250 0.140625 0.997426 
0.006250 0.150000 0.997285 
0.006250 0.159375 0.997141 
0.006250 0.168750 0.996992 
0.006250 0.178125 0.996839 
0.006250 0.187500 0.996683 
0.006250 0.196875 0.996521 
0.006250 0.206250 0.996356 
0.006250 0.215625 0.996187 
0.006250 0.225000 0.996013 
0.006250 0.234375 0.995834 
0.006250 0.243750 0.995652 
0.006250 0.253125 0.995465 
0.006250 0.262500 0.995273 
0.006250 0.271875 0.995077 
0.006250 0.281250 0.994877 
0.006250 0.290625 0.994672 
0.006250 0.300000 0.994462 
0.006250 0.309375 0.994248 
0.006250 0.318750 0.994029 
0.006250 0.328125 0.993805 
0.006250 0.337500 0.993576 
0.006250 0.346875 0.993342 
0.006250 0.356250 0.993104 
0.006250 0.365625 0.992860 
0.006250 0.375000 0.992612 
0.006250 0.384375 0.992358 
0.006250 0.393750 0.992099 
0.006250 0.403125 0.991836 
0.006250 0.412500 0.991566 
0.006250 0.421875 0.991292 
0.006250 0.431250 0.991012 
0.006250 0.440625 0.990727 
0.006250 0.450000 0.990437 
0.006250 0.459375 0.990141 
0.006250 0.468750 0.989839 
0.006250 0.478125 0.989532 
0.006250 0.487500 0.989219 
0.006250 0.496875 0.988901 
0.006250 0.506250 0.988577 
0.006250 0.515625 0.988247 
0.006250 0.525000 0.987910 
0.006250 0.534375 0.987568 
0.006250 0.543750 0.987220 
0.006250 0.553125 0.986866 
0.006250 0.562500 0.986506 
0.006250 0.571875 0.986139 
0.006250 0.581250 0.985767 
0.006250 0.590625 0.985387 
0.006250 0.600000 0.985002 
0.006250 0.609375 0.984609 
0.006250 0.618750 0.984211 
0.006250 0.628125 0.983805 
0.006250 0.637500 0.983393 
0.006250 0.646875 0.982974 
0.006250 0.656250 0.982548 
0.006250 0.665625 0.982116 
0.006250 0.675000 0.981676 
0.006250 0.684375 0.981229 
0.006250 0.693750 0.980775 
0.006250 0.703125 0.980313 
0.006250 0.712500 0.979845 
0.006250 0.721875 0.979369 
0.006250 0.731250 0.978885 
0.006250 0.740625 0.978393 
0.006250 0.750000 0.977894 
0.006250 0.759375 0.977387 
0.006250 0.768750 0.976872 
0.006250 0.778125 0.976350 
0.006250 0.787500 0.975819 
0.006250 0.796875 0.975280 
0.006250 0.806250 0.974732 
0.006250 0.815625 0.974176 
